,country_code,country_name,industry_group_id,industry_group_name,year_2,skill_change
0,au,Australia,1,Agriculture,2016,0.021448549
1,au,Australia,1,Agriculture,2017,0.075610834
2,au,Australia,1,Agriculture,2018,0.095516651
3,au,Australia,1,Agriculture,2019,0.161241675
4,au,Australia,1,Agriculture,2020,0.245460528
5,au,Australia,1,Agriculture,2021,0.285079932
6,au,Australia,2,Arts,2016,0.013786199
7,au,Australia,2,Arts,2017,0.064512847
8,au,Australia,2,Arts,2018,0.090141599
9,au,Australia,2,Arts,2019,0.141083908
10,au,Australia,2,Arts,2020,0.210317147
11,au,Australia,2,Arts,2021,0.181085617
12,au,Australia,3,Construction,2016,0.009326733
13,au,Australia,3,Construction,2017,0.065816726
14,au,Australia,3,Construction,2018,0.090267759
15,au,Australia,3,Construction,2019,0.179718507
16,au,Australia,3,Construction,2020,0.249925227
17,au,Australia,3,Construction,2021,0.310824096
18,au,Australia,4,Consumer Goods,2016,0.023309314
19,au,Australia,4,Consumer Goods,2017,0.081323477
20,au,Australia,4,Consumer Goods,2018,0.092206014
21,au,Australia,4,Consumer Goods,2019,0.189427384
22,au,Australia,4,Consumer Goods,2020,0.266043474
23,au,Australia,4,Consumer Goods,2021,0.318876698
24,au,Australia,5,Corporate Services,2016,0.016443525
25,au,Australia,5,Corporate Services,2017,0.085810054
26,au,Australia,5,Corporate Services,2018,0.158615905
27,au,Australia,5,Corporate Services,2019,0.186671686
28,au,Australia,5,Corporate Services,2020,0.219921545
29,au,Australia,5,Corporate Services,2021,0.242887237
30,au,Australia,17,Design,2016,0.011839497
31,au,Australia,17,Design,2017,0.070706082
32,au,Australia,17,Design,2018,0.094138277
33,au,Australia,17,Design,2019,0.167725447
34,au,Australia,17,Design,2020,0.204683241
35,au,Australia,17,Design,2021,0.2232568
36,au,Australia,6,Education,2016,0.010388737
37,au,Australia,6,Education,2017,0.06675395
38,au,Australia,6,Education,2018,0.100343269
39,au,Australia,6,Education,2019,0.20743725
40,au,Australia,6,Education,2020,0.292059702
41,au,Australia,6,Education,2021,0.304121637
42,au,Australia,16,Energy & Mining,2016,0.008225885
43,au,Australia,16,Energy & Mining,2017,0.037275425
44,au,Australia,16,Energy & Mining,2018,0.061241856
45,au,Australia,16,Energy & Mining,2019,0.153337741
46,au,Australia,16,Energy & Mining,2020,0.260207214
47,au,Australia,16,Energy & Mining,2021,0.303159181
48,au,Australia,18,Entertainment,2016,0.010073186
49,au,Australia,18,Entertainment,2017,0.060165639
50,au,Australia,18,Entertainment,2018,0.081078437
51,au,Australia,18,Entertainment,2019,0.160502686
52,au,Australia,18,Entertainment,2020,0.186509167
53,au,Australia,18,Entertainment,2021,0.219089606
54,au,Australia,7,Finance,2016,0.009819939
55,au,Australia,7,Finance,2017,0.053197338
56,au,Australia,7,Finance,2018,0.094170682
57,au,Australia,7,Finance,2019,0.161090149
58,au,Australia,7,Finance,2020,0.209317787
59,au,Australia,7,Finance,2021,0.242348674
60,au,Australia,19,Hardware & Networking,2016,0.020118609
61,au,Australia,19,Hardware & Networking,2017,0.086703612
62,au,Australia,19,Hardware & Networking,2018,0.133293027
63,au,Australia,19,Hardware & Networking,2019,0.224830404
64,au,Australia,19,Hardware & Networking,2020,0.350276221
65,au,Australia,19,Hardware & Networking,2021,0.37027445
66,au,Australia,12,Health Care,2016,0.008278763
67,au,Australia,12,Health Care,2017,0.039582703
68,au,Australia,12,Health Care,2018,0.065757371
69,au,Australia,12,Health Care,2019,0.169945768
70,au,Australia,12,Health Care,2020,0.254247757
71,au,Australia,12,Health Care,2021,0.339116582
72,au,Australia,9,Legal,2016,0.009070331
73,au,Australia,9,Legal,2017,0.04775415
74,au,Australia,9,Legal,2018,0.109097436
75,au,Australia,9,Legal,2019,0.171695545
76,au,Australia,9,Legal,2020,0.220711727
77,au,Australia,9,Legal,2021,0.237557124
78,au,Australia,10,Manufacturing,2016,0.014449442
79,au,Australia,10,Manufacturing,2017,0.057638393
80,au,Australia,10,Manufacturing,2018,0.092452789
81,au,Australia,10,Manufacturing,2019,0.19563652
82,au,Australia,10,Manufacturing,2020,0.268183435
83,au,Australia,10,Manufacturing,2021,0.316544028
84,au,Australia,11,Media & Communications,2016,0.014330321
85,au,Australia,11,Media & Communications,2017,0.067737393
86,au,Australia,11,Media & Communications,2018,0.093545773
87,au,Australia,11,Media & Communications,2019,0.180963841
88,au,Australia,11,Media & Communications,2020,0.218747251
89,au,Australia,11,Media & Communications,2021,0.227268767
90,au,Australia,13,Nonprofit,2016,0.015571312
91,au,Australia,13,Nonprofit,2017,0.068795876
92,au,Australia,13,Nonprofit,2018,0.089343724
93,au,Australia,13,Nonprofit,2019,0.189872405
94,au,Australia,13,Nonprofit,2020,0.267365005
95,au,Australia,13,Nonprofit,2021,0.301720085
96,au,Australia,20,Public Administration,2016,0.007040561
97,au,Australia,20,Public Administration,2017,0.039932136
98,au,Australia,20,Public Administration,2018,0.054122133
99,au,Australia,20,Public Administration,2019,0.104230844
100,au,Australia,20,Public Administration,2020,0.190896831
101,au,Australia,20,Public Administration,2021,0.211130065
102,au,Australia,21,Public Safety,2016,0.013379039
103,au,Australia,21,Public Safety,2017,0.080101445
104,au,Australia,21,Public Safety,2018,0.089603469
105,au,Australia,21,Public Safety,2019,0.118679895
106,au,Australia,21,Public Safety,2020,0.198579086
107,au,Australia,21,Public Safety,2021,0.253992496
108,au,Australia,22,Real Estate,2016,0.006673028
109,au,Australia,22,Real Estate,2017,0.049031333
110,au,Australia,22,Real Estate,2018,0.075218892
111,au,Australia,22,Real Estate,2019,0.131365657
112,au,Australia,22,Real Estate,2020,0.195107481
113,au,Australia,22,Real Estate,2021,0.194365937
114,au,Australia,14,Recreation & Travel,2016,0.021766281
115,au,Australia,14,Recreation & Travel,2017,0.104088536
116,au,Australia,14,Recreation & Travel,2018,0.139392124
117,au,Australia,14,Recreation & Travel,2019,0.245478693
118,au,Australia,14,Recreation & Travel,2020,0.338394517
119,au,Australia,14,Recreation & Travel,2021,0.399397311
120,au,Australia,24,Retail,2016,0.014396844
121,au,Australia,24,Retail,2017,0.06942764
122,au,Australia,24,Retail,2018,0.064821813
123,au,Australia,24,Retail,2019,0.15637339
124,au,Australia,24,Retail,2020,0.225601251
125,au,Australia,24,Retail,2021,0.331797632
126,au,Australia,8,Software & IT Services,2016,0.014438833
127,au,Australia,8,Software & IT Services,2017,0.086421704
128,au,Australia,8,Software & IT Services,2018,0.124369335
129,au,Australia,8,Software & IT Services,2019,0.236174146
130,au,Australia,8,Software & IT Services,2020,0.308827679
131,au,Australia,8,Software & IT Services,2021,0.321448007
132,au,Australia,15,Transportation & Logistics,2016,0.011377864
133,au,Australia,15,Transportation & Logistics,2017,0.048159882
134,au,Australia,15,Transportation & Logistics,2018,0.080628517
135,au,Australia,15,Transportation & Logistics,2019,0.176844559
136,au,Australia,15,Transportation & Logistics,2020,0.278563689
137,au,Australia,15,Transportation & Logistics,2021,0.327101164
138,au,Australia,23,Wellness & Fitness,2016,0.013408156
139,au,Australia,23,Wellness & Fitness,2017,0.071519893
140,au,Australia,23,Wellness & Fitness,2018,0.091483718
141,au,Australia,23,Wellness & Fitness,2019,0.163847621
142,au,Australia,23,Wellness & Fitness,2020,0.170350713
143,au,Australia,23,Wellness & Fitness,2021,0.272940721
144,br,Brazil,1,Agriculture,2016,0.006886364
145,br,Brazil,1,Agriculture,2017,0.042699702
146,br,Brazil,1,Agriculture,2018,0.065015202
147,br,Brazil,1,Agriculture,2019,0.084729285
148,br,Brazil,1,Agriculture,2020,0.168470595
149,br,Brazil,1,Agriculture,2021,0.195971171
150,br,Brazil,2,Arts,2016,0.024502549
151,br,Brazil,2,Arts,2017,0.079142621
152,br,Brazil,2,Arts,2018,0.115520338
153,br,Brazil,2,Arts,2019,0.136556341
154,br,Brazil,2,Arts,2020,0.198410793
155,br,Brazil,2,Arts,2021,0.21190431
156,br,Brazil,3,Construction,2016,0.009703331
157,br,Brazil,3,Construction,2017,0.072537881
158,br,Brazil,3,Construction,2018,0.116275486
159,br,Brazil,3,Construction,2019,0.197382424
160,br,Brazil,3,Construction,2020,0.285629646
161,br,Brazil,3,Construction,2021,0.338670867
162,br,Brazil,4,Consumer Goods,2016,0.012470243
163,br,Brazil,4,Consumer Goods,2017,0.1303915
164,br,Brazil,4,Consumer Goods,2018,0.189492902
165,br,Brazil,4,Consumer Goods,2019,0.280520555
166,br,Brazil,4,Consumer Goods,2020,0.439249652
167,br,Brazil,4,Consumer Goods,2021,0.510091665
168,br,Brazil,5,Corporate Services,2016,0.016069485
169,br,Brazil,5,Corporate Services,2017,0.170461402
170,br,Brazil,5,Corporate Services,2018,0.260508778
171,br,Brazil,5,Corporate Services,2019,0.312836184
172,br,Brazil,5,Corporate Services,2020,0.423304503
173,br,Brazil,5,Corporate Services,2021,0.463594557
174,br,Brazil,17,Design,2016,0.012806787
175,br,Brazil,17,Design,2017,0.053547501
176,br,Brazil,17,Design,2018,0.08152081
177,br,Brazil,17,Design,2019,0.130092069
178,br,Brazil,17,Design,2020,0.138827345
179,br,Brazil,17,Design,2021,0.176538745
180,br,Brazil,6,Education,2016,0.020442033
181,br,Brazil,6,Education,2017,0.149484882
182,br,Brazil,6,Education,2018,0.211417256
183,br,Brazil,6,Education,2019,0.199761655
184,br,Brazil,6,Education,2020,0.261915153
185,br,Brazil,6,Education,2021,0.309424502
186,br,Brazil,16,Energy & Mining,2016,0.011098187
187,br,Brazil,16,Energy & Mining,2017,0.065787857
188,br,Brazil,16,Energy & Mining,2018,0.109509593
189,br,Brazil,16,Energy & Mining,2019,0.192300362
190,br,Brazil,16,Energy & Mining,2020,0.378923403
191,br,Brazil,16,Energy & Mining,2021,0.393073988
192,br,Brazil,18,Entertainment,2016,0.014928362
193,br,Brazil,18,Entertainment,2017,0.068384287
194,br,Brazil,18,Entertainment,2018,0.097536059
195,br,Brazil,18,Entertainment,2019,0.170766657
196,br,Brazil,18,Entertainment,2020,0.199769433
197,br,Brazil,18,Entertainment,2021,0.281674201
198,br,Brazil,7,Finance,2016,0.015620368
199,br,Brazil,7,Finance,2017,0.146464381
200,br,Brazil,7,Finance,2018,0.198361454
201,br,Brazil,7,Finance,2019,0.322497048
202,br,Brazil,7,Finance,2020,0.409418311
203,br,Brazil,7,Finance,2021,0.43314365
204,br,Brazil,19,Hardware & Networking,2016,0.011113153
205,br,Brazil,19,Hardware & Networking,2017,0.113510985
