,country_name,industry_group_name,year,skill_name,impt_rank,rank_diff,highest_ss,closest_skill
0,Australia,Agriculture,2021,Agriculture,1,0,100,Agriculture
1,Australia,Agriculture,2021,Livestock,2,New,94.6465189394,Farms
2,Australia,Agriculture,2021,Agribusiness,3,-1,100,Agribusiness
3,Australia,Agriculture,2021,Agricultural Production,4,New,93.0128864673,Agriculture
4,Australia,Agriculture,2021,Sustainable Agriculture,5,-1,100,Sustainable Agriculture
5,Australia,Agriculture,2021,Cattle,6,New,95.632664993,Farms
6,Australia,Agriculture,2021,Agronomy,7,-2,100,Agronomy
7,Australia,Agriculture,2021,Beef Cattle,8,New,89.7994155612,Farms
8,Australia,Agriculture,2021,Animal Husbandry,9,New,85.8463970221,Horticulture
9,Australia,Agriculture,2021,Farms,10,-7,100,Farms
10,Australia,Arts,2021,Portrait Photography,1,4,100,Portrait Photography
11,Australia,Arts,2021,Photography,2,5,100,Photography
12,Australia,Arts,2021,Lifestyle Photography,3,New,98.5149569728,Commercial Photography
13,Australia,Arts,2021,Visual Arts,4,-1,100,Visual Arts
14,Australia,Arts,2021,Commercial Photography,5,4,100,Commercial Photography
15,Australia,Arts,2021,Studio Photography,6,New,99.1622276294,Commercial Photography
16,Australia,Arts,2021,Event Photography,7,New,98.9985044605,Commercial Photography
17,Australia,Arts,2021,Adobe Lightroom,8,New,95.2664410705,Digital Photography
18,Australia,Arts,2021,Fine Art,9,-7,100,Fine Art
19,Australia,Arts,2021,Performing Arts,10,0,100,Performing Arts
20,Australia,Construction,2021,Construction,1,0,100,Construction
21,Australia,Construction,2021,Construction Management,2,1,100,Construction Management
22,Australia,Construction,2021,Construction Safety,3,3,100,Construction Safety
23,Australia,Construction,2021,Project Estimation,4,3,100,Project Estimation
24,Australia,Construction,2021,Construction Estimating,5,New,93.1490031621,Project Estimation
25,Australia,Construction,2021,Carpentry,6,New,84.0499380804,Contractors
26,Australia,Construction,2021,Civil Engineering,7,New,91.3751873749,Construction Management
27,Australia,Construction,2021,Bluebeam,8,New,80.2178142621,Construction Management
28,Australia,Construction,2021,EWP,9,New,86.5525173785,Construction Safety
29,Australia,Construction,2021,Contract Management,10,-8,100,Contract Management
30,Australia,Consumer Goods,2021,Retail Sales,1,New,92.4110954114,Visual Merchandising
31,Australia,Consumer Goods,2021,Visual Merchandising,2,3,100,Visual Merchandising
32,Australia,Consumer Goods,2021,Retail,3,-2,100,Retail
33,Australia,Consumer Goods,2021,Time Management,4,New,79.8473321025,Inventory Management
34,Australia,Consumer Goods,2021,MYOB,5,New,59.9454010657,Forecasting
35,Australia,Consumer Goods,2021,Customer Service,6,New,82.0459000469,Account Management
36,Australia,Consumer Goods,2021,Point of Sale (POS) Systems,7,New,83.1747603918,Inventory Management
37,Australia,Consumer Goods,2021,Stock Management,8,New,82.5737135227,Inventory Management
38,Australia,Consumer Goods,2021,Barista,9,New,80.2733981466,Food & Beverage
39,Australia,Consumer Goods,2021,Xero,10,New,60.6945647719,Forecasting
40,Australia,Corporate Services,2021,Xero,1,New,98.0495226975,MYOB
41,Australia,Corporate Services,2021,MYOB,2,0,100,MYOB
42,Australia,Corporate Services,2021,Stakeholder Engagement,3,New,91.8908697724,Stakeholder Management
43,Australia,Corporate Services,2021,Bookkeeping,4,New,89.1838722908,MYOB
44,Australia,Corporate Services,2021,Self Managed Superannuation Funds (SMSF),5,New,96.4917573398,Superannuation
45,Australia,Corporate Services,2021,Stakeholder Management,6,-5,100,Stakeholder Management
46,Australia,Corporate Services,2021,Tax Preparation,7,New,96.6432307342,Income Tax
47,Australia,Corporate Services,2021,Data Entry,8,New,67.3107669807,MYOB
48,Australia,Corporate Services,2021,Time Management,9,New,69.4791137855,MYOB
49,Australia,Corporate Services,2021,Financial Reporting,10,-5,100,Financial Reporting
50,Australia,Design,2021,Adobe InDesign,1,7,100,Adobe InDesign
51,Australia,Design,2021,Revit,2,5,100,Revit
52,Australia,Design,2021,Adobe Creative Suite,3,New,95.885011548,Adobe InDesign
53,Australia,Design,2021,Adobe Illustrator,4,New,97.9437637157,Adobe InDesign
54,Australia,Design,2021,Rhino 3D,5,New,92.2547718935,SketchUp
55,Australia,Design,2021,Architectural Drawings,6,0,100,Architectural Drawings
56,Australia,Design,2021,Graphic Design,7,New,93.6163485223,Adobe InDesign
57,Australia,Design,2021,Branding & Identity,8,New,86.0944518254,Adobe InDesign
58,Australia,Design,2021,ARCHICAD,9,New,96.9993798349,SketchUp
59,Australia,Design,2021,Residential Design,10,-8,100,Residential Design
60,Australia,Education,2021,Teaching,1,New,94.6133881982,Higher Education
61,Australia,Education,2021,Higher Education,2,2,100,Higher Education
62,Australia,Education,2021,Curriculum Development,3,-1,100,Curriculum Development
63,Australia,Education,2021,Tutoring,4,6,100,Tutoring
64,Australia,Education,2021,Educational Leadership,5,-2,100,Educational Leadership
65,Australia,Education,2021,Classroom Management,6,0,100,Classroom Management
66,Australia,Education,2021,Working With Children,7,New,80.2838841826,Tutoring
67,Australia,Education,2021,Stakeholder Engagement,8,New,61.192815687,Staff Development
68,Australia,Education,2021,Python (Programming Language),9,New,51.6177145009,Higher Education
69,Australia,Education,2021,University Teaching,10,New,91.1173322895,Higher Education
70,Australia,Energy & Mining,2021,Mining,1,0,100,Mining
71,Australia,Energy & Mining,2021,Surface Mining,2,New,95.247983733,Coal
72,Australia,Energy & Mining,2021,Underground Mining,3,New,95.5547678437,Mineral Processing
73,Australia,Energy & Mining,2021,Oil & Gas Industry,4,New,96.6403812391,Petroleum
74,Australia,Energy & Mining,2021,Stakeholder Engagement,5,New,58.1589623096,Safety Management Systems
75,Australia,Energy & Mining,2021,Coal Mining,6,New,96.6178913454,Coal
76,Australia,Energy & Mining,2021,Plant Maintenance,7,New,96.4379204792,Maintenance Management
77,Australia,Energy & Mining,2021,EWP,8,New,81.8929191835,Maintenance Management
78,Australia,Energy & Mining,2021,Working at Height,9,New,86.8552666663,Safety Management Systems
79,Australia,Energy & Mining,2021,Heavy Equipment,10,New,85.4705159982,Maintenance Management
80,Australia,Entertainment,2021,Film Production,1,8,100,Film Production
81,Australia,Entertainment,2021,Video Production,2,3,100,Video Production
82,Australia,Entertainment,2021,Adobe Premiere Pro,3,New,89.7401896216,Video Production
83,Australia,Entertainment,2021,Videography,4,New,95.918562969,Video Production
84,Australia,Entertainment,2021,Camera Operation,5,New,94.376894345,Media Production
85,Australia,Entertainment,2021,Video Editing,6,New,97.2779021615,Video Production
86,Australia,Entertainment,2021,Music Composition,7,New,84.6952624986,Entertainment
87,Australia,Entertainment,2021,Video Post-Production,8,2,100,Video Post-Production
88,Australia,Entertainment,2021,Music Industry,9,New,91.7720959936,Entertainment
