,country_code,country_name,year,skill_type_digital,pen_percentage
0,ae,United Arab Emirates,2015,digital-basic,4.007820137
1,ae,United Arab Emirates,2015,digital-applied,4.985337243
2,ae,United Arab Emirates,2015,digital-software_and_hardware,2.443792766
3,ae,United Arab Emirates,2015,digital-disruptive,1.661779081
4,ae,United Arab Emirates,2015,other,86.90127077
5,ae,United Arab Emirates,2016,digital-basic,3.98912058
6,ae,United Arab Emirates,2016,digital-applied,4.714415231
7,ae,United Arab Emirates,2016,digital-software_and_hardware,2.175883953
8,ae,United Arab Emirates,2016,digital-disruptive,1.631912965
9,ae,United Arab Emirates,2016,other,87.48866727
10,ae,United Arab Emirates,2017,digital-basic,6.327372765
11,ae,United Arab Emirates,2017,digital-applied,7.015130674
12,ae,United Arab Emirates,2017,digital-software_and_hardware,3.026134801
13,ae,United Arab Emirates,2017,digital-disruptive,1.650618982
14,ae,United Arab Emirates,2017,other,81.98074278
15,ae,United Arab Emirates,2018,digital-basic,4.632768362
16,ae,United Arab Emirates,2018,digital-applied,5.875706215
17,ae,United Arab Emirates,2018,digital-software_and_hardware,2.937853107
18,ae,United Arab Emirates,2018,digital-disruptive,1.016949153
19,ae,United Arab Emirates,2018,other,85.53672316
20,ae,United Arab Emirates,2019,digital-basic,2.818371608
21,ae,United Arab Emirates,2019,digital-applied,5.741127349
22,ae,United Arab Emirates,2019,digital-software_and_hardware,2.087682672
23,ae,United Arab Emirates,2019,digital-disruptive,1.461377871
24,ae,United Arab Emirates,2019,other,87.8914405
25,ae,United Arab Emirates,2020,digital-basic,1.897983393
26,ae,United Arab Emirates,2020,digital-applied,6.524317912
27,ae,United Arab Emirates,2020,digital-software_and_hardware,2.135231317
28,ae,United Arab Emirates,2020,digital-disruptive,1.779359431
29,ae,United Arab Emirates,2020,other,87.66310795
30,ae,United Arab Emirates,2021,digital-basic,0.731707317
31,ae,United Arab Emirates,2021,digital-applied,5.243902439
32,ae,United Arab Emirates,2021,digital-software_and_hardware,2.073170732
33,ae,United Arab Emirates,2021,digital-disruptive,2.073170732
34,ae,United Arab Emirates,2021,other,89.87804878
35,au,Australia,2015,digital-basic,2.582033351
36,au,Australia,2015,digital-applied,7.584722969
37,au,Australia,2015,digital-software_and_hardware,6.105433029
38,au,Australia,2015,digital-disruptive,2.071005917
39,au,Australia,2015,other,81.65680473
40,au,Australia,2016,digital-basic,2.382370459
41,au,Australia,2016,digital-applied,8.308516974
42,au,Australia,2016,digital-software_and_hardware,6.313281715
43,au,Australia,2016,digital-disruptive,2.084574151
44,au,Australia,2016,other,80.9112567
45,au,Australia,2017,digital-basic,3.812010444
46,au,Australia,2017,digital-applied,8.772845953
47,au,Australia,2017,digital-software_and_hardware,5.221932115
48,au,Australia,2017,digital-disruptive,3.237597911
49,au,Australia,2017,other,78.95561358
50,au,Australia,2018,digital-basic,4.012345679
51,au,Australia,2018,digital-applied,9.516460905
52,au,Australia,2018,digital-software_and_hardware,5.761316872
53,au,Australia,2018,digital-disruptive,3.343621399
54,au,Australia,2018,other,77.36625514
55,au,Australia,2019,digital-basic,3.357438017
56,au,Australia,2019,digital-applied,9.917355372
57,au,Australia,2019,digital-software_and_hardware,6.714876033
58,au,Australia,2019,digital-disruptive,4.23553719
59,au,Australia,2019,other,75.77479339
60,au,Australia,2020,digital-basic,3.836930456
61,au,Australia,2020,digital-applied,7.494004796
62,au,Australia,2020,digital-software_and_hardware,6.534772182
63,au,Australia,2020,digital-disruptive,4.79616307
64,au,Australia,2020,other,77.3381295
65,au,Australia,2021,digital-basic,3.715170279
66,au,Australia,2021,digital-applied,8.204334365
67,au,Australia,2021,digital-software_and_hardware,4.489164087
68,au,Australia,2021,digital-disruptive,5.185758514
69,au,Australia,2021,other,78.40557276
70,br,Brazil,2015,digital-basic,12.73675853
71,br,Brazil,2015,digital-applied,13.41726211
72,br,Brazil,2015,digital-software_and_hardware,6.056481797
73,br,Brazil,2015,digital-disruptive,4.423273222
74,br,Brazil,2015,other,63.36622434
75,br,Brazil,2016,digital-basic,12.56038647
76,br,Brazil,2016,digital-applied,13.52657005
77,br,Brazil,2016,digital-software_and_hardware,6.436871654
78,br,Brazil,2016,digital-disruptive,4.269486878
79,br,Brazil,2016,other,63.20668495
80,br,Brazil,2017,digital-basic,13
81,br,Brazil,2017,digital-applied,13.40425532
82,br,Brazil,2017,digital-software_and_hardware,6.872340426
83,br,Brazil,2017,digital-disruptive,3.425531915
84,br,Brazil,2017,other,63.29787234
85,br,Brazil,2018,digital-basic,12.00680272
86,br,Brazil,2018,digital-applied,11.59863946
87,br,Brazil,2018,digital-software_and_hardware,6.887755102
88,br,Brazil,2018,digital-disruptive,3.911564626
89,br,Brazil,2018,other,65.5952381
90,br,Brazil,2019,digital-basic,9.616101379
91,br,Brazil,2019,digital-applied,10.7342527
92,br,Brazil,2019,digital-software_and_hardware,6.522549385
93,br,Brazil,2019,digital-disruptive,4.67138775
94,br,Brazil,2019,other,68.45570878
95,br,Brazil,2020,digital-basic,4.954384187
96,br,Brazil,2020,digital-applied,8.438925494
97,br,Brazil,2020,digital-software_and_hardware,7.095793208
98,br,Brazil,2020,digital-disruptive,5.372529143
99,br,Brazil,2020,other,74.13836797
100,br,Brazil,2021,digital-basic,3.84319754
101,br,Brazil,2021,digital-applied,8.916218294
102,br,Brazil,2021,digital-software_and_hardware,7.250832693
103,br,Brazil,2021,digital-disruptive,5.226748655
104,br,Brazil,2021,other,74.76300282
105,ca,Canada,2015,digital-basic,2.97219559
106,ca,Canada,2015,digital-applied,7.90987536
107,ca,Canada,2015,digital-software_and_hardware,6.519654842
108,ca,Canada,2015,digital-disruptive,2.556727389
109,ca,Canada,2015,other,80.04154682
110,ca,Canada,2016,digital-basic,3.327067669
111,ca,Canada,2016,digital-applied,8.571428571
112,ca,Canada,2016,digital-software_and_hardware,7.462406015
113,ca,Canada,2016,digital-disruptive,3.270676692
114,ca,Canada,2016,other,77.36842105
115,ca,Canada,2017,digital-basic,4.293028751
116,ca,Canada,2017,digital-applied,8.901142182
117,ca,Canada,2017,digital-software_and_hardware,7.798345805
118,ca,Canada,2017,digital-disruptive,5.080740449
119,ca,Canada,2017,other,73.92674281
120,ca,Canada,2018,digital-basic,4.298554123
121,ca,Canada,2018,digital-applied,8.362641657
122,ca,Canada,2018,digital-software_and_hardware,8.167252833
123,ca,Canada,2018,digital-disruptive,5.314576006
124,ca,Canada,2018,other,73.85697538
125,ca,Canada,2019,digital-basic,3.269654666
126,ca,Canada,2019,digital-applied,9.955914769
127,ca,Canada,2019,digital-software_and_hardware,7.604702425
128,ca,Canada,2019,digital-disruptive,5.547391624
129,ca,Canada,2019,other,73.62233652
130,ca,Canada,2020,digital-basic,3.894080997
131,ca,Canada,2020,digital-applied,8.761682243
132,ca,Canada,2020,digital-software_and_hardware,8.177570093
133,ca,Canada,2020,digital-disruptive,6.308411215
134,ca,Canada,2020,other,72.85825545
135,ca,Canada,2021,digital-basic,4.471330878
136,ca,Canada,2021,digital-applied,7.943187796
137,ca,Canada,2021,digital-software_and_hardware,8.048395581
138,ca,Canada,2021,digital-disruptive,7.417148869
139,ca,Canada,2021,other,72.11993688
140,cn,China,2015,digital-basic,11.95524146
141,cn,China,2015,digital-applied,5.418138987
142,cn,China,2015,digital-software_and_hardware,7.89163722
143,cn,China,2015,digital-disruptive,6.124852768
144,cn,China,2015,other,68.61012956
145,cn,China,2016,digital-basic,11.50814503
146,cn,China,2016,digital-applied,6.200735681
147,cn,China,2016,digital-software_and_hardware,9.616395166
148,cn,China,2016,digital-disruptive,9.879138203
149,cn,China,2016,other,62.79558592
150,cn,China,2017,digital-basic,9.624796085
151,cn,China,2017,digital-applied,6.307775965
152,cn,China,2017,digital-software_and_hardware,7.66721044
153,cn,China,2017,digital-disruptive,12.34366504
154,cn,China,2017,other,64.05655247
155,cn,China,2018,digital-basic,9.840751327
156,cn,China,2018,digital-applied,6.329113924
157,cn,China,2018,digital-software_and_hardware,8.207431605
158,cn,China,2018,digital-disruptive,11.759902
159,cn,China,2018,other,63.86280114
160,cn,China,2019,digital-basic,3.557744937
161,cn,China,2019,digital-applied,3.831417625
162,cn,China,2019,digital-software_and_hardware,7.827038862
163,cn,China,2019,digital-disruptive,12.15106732
164,cn,China,2019,other,72.63273125
165,cn,China,2020,digital-basic,0.664251208
166,cn,China,2020,digital-applied,3.985507246
167,cn,China,2020,digital-software_and_hardware,5.193236715
168,cn,China,2020,digital-disruptive,11.05072464
169,cn,China,2020,other,79.10628019
170,cn,China,2021,digital-basic,0.098039216
171,cn,China,2021,digital-applied,2.156862745
172,cn,China,2021,digital-software_and_hardware,7.450980392
173,cn,China,2021,digital-disruptive,11.76470588
174,cn,China,2021,other,78.52941176
175,de,Germany,2015,digital-basic,2.032332564
176,de,Germany,2015,digital-applied,15.01154734
177,de,Germany,2015,digital-software_and_hardware,10.43879908
178,de,Germany,2015,digital-disruptive,6.512702079
179,de,Germany,2015,other,66.00461894
180,de,Germany,2016,digital-basic,2.157598499
181,de,Germany,2016,digital-applied,14.44652908
182,de,Germany,2016,digital-software_and_hardware,10.88180113
183,de,Germany,2016,digital-disruptive,7.082551595
184,de,Germany,2016,other,65.4315197
